Órgão,Microregiao
Procon Municipal de Mogi Mirim,Moji Mirim
Procon Municipal de Mongaguá ,Itanhaem
Procon Municipal de Monte Alto,Jaboticabal
Procon Municipal de Monte Aprazível ,Nhandeara
Procon Municipal de Monte Mor,Campinas
Procon Municipal de Morro Agudo,Sao Joaquim da Barra
Procon Municipal de Nova Odessa,Campinas
Procon Municipal de Olímpia,Sao Jose do Rio Preto
 Procon Municipal de Orlândia,Sao Joaquim da Barra
Procon Municipal de Osasco,Osasco
Procon Municipal de Osvaldo Cruz,Adamantina
 Procon Municipal de Ourinhos,Ourinhos
 Procon Municipal de Palmital,Assis
Procon Municipal de Paulínia,Campinas
Procon Municipal de Paraguaçu Paulista,Assis
Procon Municipal de Paraibuna,Paraibuna/Paraitinga
Procon Municipal de Parapuã,Adamantina
Procon Municipal de Pederneiras,Jau
Procon Municipal de Pedreira,Campinas
Procon Municipal de Penápolis,Birigui
Procon Municipal de Peruíbe,Itanhaem
 Procon Municipal de Pindamonhangaba,Sao Jose dos Campos
Procon Municipal de Piracicaba,Piracicaba
Procon Municipal de Piraju,Ourinhos
Procon Municipal de Pirapora do Bom Jesus,Osasco
Procon Municipal de Pirassununga,Pirassununga
Procon Municipal de Pitangueiras,Jaboticabal
Procon Municipal de Platina,Assis
Procon Municipal de Poá,Mogi das Cruzes
Procon Municipal de Pompéia,Marilia
Procon Municipal de Pontal,Ribeirao Preto
Procon Municipal de Potirendaba,Sao Jose do Rio Preto
Procon Municipal de Porto Feliz,Sorocaba
Procon Municipal de Porto Ferreira,Pirassununga
Procon Municipal de Potim,Guaratingueta
Procon Municipal de Praia Grande,Santos
Procon Municipal de Presidente Epitácio,Presidente Prudente
Procon Municipal de Presidente Prudente,Presidente Prudente
Procon Municipal de Presidente Venceslau,Presidente Prudente
Procon Municipal de Quatá,Assis
Procon Municipal de Rancharia,Presidente Prudente
Procon Municipal de Registro,Registro
Procon Municipal de Ribeirão Pires,Sao Paulo
Procon Municipal de Ribeirão Preto,Ribeirao Preto
